,age,income,became_member_on,gender_M,gender_O,gender_U
127952,49,93000.0,20180112,1,0,0
136945,40,50000.0,20170303,1,0,0
96560,27,62000.0,20170709,1,0,0
104065,54,41000.0,20160624,0,0,0
100530,61,78000.0,20160301,0,0,0
28961,89,110000.0,20180111,0,0,0
128940,57,73000.0,20180226,0,0,0
38829,72,75000.0,20150817,0,0,0
45739,56,54000.0,20131214,0,0,0
83495,118,67800.0,20170526,0,0,1
69500,60,92000.0,20180213,0,0,0
19107,118,67800.0,20180711,0,0,1
41634,118,67800.0,20171013,0,0,1
24289,75,52000.0,20151129,1,0,0
77799,63,93000.0,20180219,0,0,0
119372,78,57000.0,20160318,0,0,0
100988,42,68000.0,20170806,1,0,0
4128,71,67000.0,20151017,0,0,0
56925,64,75000.0,20160925,0,0,0
41209,48,38000.0,20171028,1,0,0
146918,64,56000.0,20140719,0,0,0
45956,70,35000.0,20180304,1,0,0
23617,52,93000.0,20161113,0,0,0
62862,60,37000.0,20170830,0,0,0
33202,19,45000.0,20160824,1,0,0
43120,56,64000.0,20160609,1,0,0
73493,53,54000.0,20170209,1,0,0
7015,75,53000.0,20170418,0,0,0
34121,69,70000.0,20170817,1,0,0
39347,118,67800.0,20171113,0,0,1
136605,64,48000.0,20180209,0,0,0
98750,41,65000.0,20171208,1,0,0
108181,40,61000.0,20160506,1,0,0
30561,87,72000.0,20170218,0,0,0
80599,62,46000.0,20161007,0,0,0
43328,53,33000.0,20170916,1,0,0
122261,39,50000.0,20160115,0,0,0
23923,28,34000.0,20160824,0,0,0
151489,55,57000.0,20171023,0,0,0
40216,65,79000.0,20160827,0,0,0
50894,32,40000.0,20150108,1,0,0
118321,42,75000.0,20151130,0,0,0
59081,35,49000.0,20150901,1,0,0
121547,73,52000.0,20180430,0,1,0
133079,118,67800.0,20160405,0,0,1
111142,40,78000.0,20160305,0,0,0
82484,47,45000.0,20140901,1,0,0
12400,55,53000.0,20151121,0,0,0
142654,101,43000.0,20171004,0,0,0
128033,48,65000.0,20180129,1,0,0
102181,62,79000.0,20170730,1,0,0
40850,51,75000.0,20161027,0,0,0
61813,70,97000.0,20150812,0,0,0
10535,83,43000.0,20170904,0,0,0
2882,76,43000.0,20180108,1,0,0
140859,88,50000.0,20150129,1,0,0
70828,59,38000.0,20160124,1,0,0
87313,67,68000.0,20160420,0,0,0
148147,59,119000.0,20151230,0,0,0
115383,90,53000.0,20150816,0,0,0
113752,118,67800.0,20170930,0,0,1
122933,20,47000.0,20170413,0,0,0
119221,80,62000.0,20150927,0,0,0
88506,25,53000.0,20171021,1,0,0
116130,77,49000.0,20180629,1,0,0
147968,46,94000.0,20180301,1,0,0
104396,47,64000.0,20170413,1,0,0
117800,118,67800.0,20161029,0,0,1
144699,46,34000.0,20160520,1,0,0
5193,61,81000.0,20160929,1,0,0
68662,59,54000.0,20150123,1,0,0
98593,64,100000.0,20170909,1,0,0
74953,50,33000.0,20180107,0,0,0
28141,72,75000.0,20170804,0,0,0
6243,43,70000.0,20161215,0,0,0
145081,64,81000.0,20160225,0,0,0
2624,118,67800.0,20170603,0,0,1
105848,74,31000.0,20170830,0,0,0
127076,71,95000.0,20150826,1,0,0
105432,83,69000.0,20170305,0,0,0
17202,40,47000.0,20180131,1,0,0
115693,19,39000.0,20140819,1,0,0
148911,82,59000.0,20161002,0,0,0
93048,76,69000.0,20170107,1,0,0
32940,52,82000.0,20180103,1,0,0
60105,37,74000.0,20170124,1,0,0
120077,118,67800.0,20161128,0,0,1
18255,51,33000.0,20171019,1,0,0
5462,118,67800.0,20150809,0,0,1
123497,56,95000.0,20170418,1,0,0
149318,58,61000.0,20160716,1,0,0
107838,55,88000.0,20160912,1,0,0
128925,81,52000.0,20150815,0,0,0
90182,63,36000.0,20160124,0,0,0
82153,53,40000.0,20170423,1,0,0
26460,55,98000.0,20170905,0,0,0
72561,47,46000.0,20170915,1,0,0
117557,90,120000.0,20180512,1,0,0
65658,31,36000.0,20150827,1,0,0
147565,118,67800.0,20160302,0,0,1
91635,82,60000.0,20140108,1,0,0
99897,21,68000.0,20180306,1,0,0
77516,43,41000.0,20150417,1,0,0
121314,46,68000.0,20170124,0,0,0
47058,52,65000.0,20130730,1,0,0
102501,118,67800.0,20171105,0,0,1
61818,64,77000.0,20151203,1,0,0
150228,68,84000.0,20160207,1,0,0
12937,32,50000.0,20140413,0,0,0
123950,42,65000.0,20180119,0,0,0
112609,59,88000.0,20160209,0,0,0
118414,60,60000.0,20180123,0,0,0
110193,78,69000.0,20160503,1,0,0
65668,24,31000.0,20151016,0,0,0
107202,71,68000.0,20171120,0,0,0
118854,52,67000.0,20160131,1,0,0
109121,24,45000.0,20170128,0,0,0
53694,68,115000.0,20170502,0,0,0
121926,73,71000.0,20160501,0,0,0
132038,68,85000.0,20171213,0,0,0
83212,58,55000.0,20140308,0,0,0
1792,84,75000.0,20180214,1,0,0
130289,57,85000.0,20151110,0,0,0
150581,24,38000.0,20180703,1,0,0
147484,58,81000.0,20171029,0,0,0
136582,63,61000.0,20141010,1,0,0
136144,45,39000.0,20171114,0,0,0
80155,35,48000.0,20171210,1,0,0
62394,118,67800.0,20151127,0,0,1
126741,73,57000.0,20160130,1,0,0
94165,63,74000.0,20180326,0,0,0
104927,72,115000.0,20161129,0,0,0
144884,118,67800.0,20170517,0,0,1
108701,32,38000.0,20151008,1,0,0
90541,36,65000.0,20170519,0,0,0
45008,31,52000.0,20170910,1,0,0
108766,25,60000.0,20140711,1,0,0
78460,75,82000.0,20150817,1,0,0
140632,78,74000.0,20180406,0,0,0
135773,61,53000.0,20160728,1,0,0
60652,63,116000.0,20160324,1,0,0
119032,45,63000.0,20160428,1,0,0
92229,61,31000.0,20170810,1,0,0
60443,46,51000.0,20180720,1,0,0
8463,64,86000.0,20150506,0,0,0
125335,66,87000.0,20151001,0,0,0
101231,33,49000.0,20160821,1,0,0
103459,118,67800.0,20150831,0,0,1
71225,56,63000.0,20160214,0,0,0
149934,74,85000.0,20131129,0,0,0
65597,79,55000.0,20170713,0,0,0
83400,71,36000.0,20180629,1,0,0
66165,54,60000.0,20180511,1,0,0
129907,53,71000.0,20171026,1,0,0
98795,94,55000.0,20160219,1,0,0
120509,60,56000.0,20170930,1,0,0
128567,77,37000.0,20170106,0,0,0
109357,60,45000.0,20170117,0,0,0
49000,48,64000.0,20160510,1,0,0
112333,56,64000.0,20160609,1,0,0
69468,118,67800.0,20160926,0,0,1
45855,30,33000.0,20170323,0,0,0
137759,29,59000.0,20130916,1,0,0
56471,118,67800.0,20160701,0,0,1
143240,60,79000.0,20160919,1,0,0
148034,49,112000.0,20170801,0,0,0
88846,51,48000.0,20180304,0,0,0
110477,70,62000.0,20171203,0,0,0
88666,74,89000.0,20160819,0,0,0
61302,72,67000.0,20171027,1,0,0
27352,90,53000.0,20150816,0,0,0
131952,51,67000.0,20160602,1,0,0
119365,56,66000.0,20140911,1,0,0
101030,61,67000.0,20150527,1,0,0
61008,69,51000.0,20160412,0,0,0
126969,52,51000.0,20180402,1,0,0
87554,18,55000.0,20180429,1,0,0
112435,44,56000.0,20160124,1,0,0
135045,23,65000.0,20160904,1,0,0
31400,47,59000.0,20170206,0,0,0
40835,30,42000.0,20161027,0,0,0
131204,66,71000.0,20160721,1,0,0
137320,53,53000.0,20161122,0,0,0
85273,118,67800.0,20170212,0,0,1
109732,118,67800.0,20161003,0,0,1
8683,49,94000.0,20171203,1,0,0
115782,91,40000.0,20150911,1,0,0
39354,70,51000.0,20160516,1,0,0
146035,52,53000.0,20150927,0,0,0
143417,28,42000.0,20140110,1,0,0
146427,69,73000.0,20170915,1,0,0
143915,68,50000.0,20171126,0,0,0
56495,49,66000.0,20161106,1,0,0
23736,118,67800.0,20180318,0,0,1
72109,58,45000.0,20160424,1,0,0
79739,56,64000.0,20171211,1,0,0
111440,88,80000.0,20170221,0,0,0
114434,48,66000.0,20140515,1,0,0
52143,68,84000.0,20171015,0,0,0
134055,44,87000.0,20180609,0,0,0
67053,62,64000.0,20151117,0,0,0
63516,52,68000.0,20180401,0,0,0
111306,54,80000.0,20160424,1,0,0
42658,50,67000.0,20150701,1,0,0
85637,118,67800.0,20171121,0,0,1
30014,38,68000.0,20171211,0,0,0
95220,53,38000.0,20170924,1,0,0
95980,49,56000.0,20170618,1,0,0
75617,61,53000.0,20160728,1,0,0
86176,56,97000.0,20150926,1,0,0
100864,71,47000.0,20161122,1,0,0
77728,46,53000.0,20171030,1,0,0
112217,54,74000.0,20170829,1,0,0
77660,71,84000.0,20171021,1,0,0
28498,80,50000.0,20180623,0,1,0
107206,118,67800.0,20160330,0,0,1
95596,56,94000.0,20170830,1,0,0
81934,75,82000.0,20150817,1,0,0
28102,65,116000.0,20170910,1,0,0
67071,64,40000.0,20170414,0,0,0
149440,61,98000.0,20161111,0,0,0
134002,94,54000.0,20180102,1,0,0
89487,22,47000.0,20180630,1,0,0
144321,71,70000.0,20180330,0,0,0
87382,47,66000.0,20160828,0,0,0
57419,118,67800.0,20160707,0,0,1
64294,55,71000.0,20150804,0,0,0
142908,81,85000.0,20161223,1,0,0
149575,47,99000.0,20150908,1,0,0
27929,49,67000.0,20161218,1,0,0
50204,61,33000.0,20180118,1,0,0
92715,48,76000.0,20170819,1,0,0
34423,66,88000.0,20171214,0,0,0
49691,60,37000.0,20170813,0,0,0
113293,29,55000.0,20170319,1,0,0
130585,47,35000.0,20171202,1,0,0
8434,24,51000.0,20151021,1,0,0
36226,69,119000.0,20151230,1,0,0
147020,40,61000.0,20180603,0,1,0
78798,53,34000.0,20151121,1,0,0
145364,37,38000.0,20140522,1,0,0
88027,19,32000.0,20160721,0,0,0
99500,62,103000.0,20161213,1,0,0
110826,118,67800.0,20180125,0,0,1
28114,22,56000.0,20140909,1,0,0
138345,60,51000.0,20160116,1,0,0
143051,26,37000.0,20171010,0,0,0
97024,46,32000.0,20171009,1,0,0
136773,55,57000.0,20171023,0,0,0
131303,54,69000.0,20170421,1,0,0
83920,58,77000.0,20170307,0,0,0
50626,44,62000.0,20170219,1,0,0
138594,43,49000.0,20171216,1,0,0
120573,66,83000.0,20170315,1,0,0
123948,73,59000.0,20141108,1,0,0
148994,18,66000.0,20180125,1,0,0
58509,78,43000.0,20170426,1,0,0
107820,35,52000.0,20180227,1,0,0
36276,43,51000.0,20151016,0,0,0
91226,39,37000.0,20170726,0,0,0
83790,88,73000.0,20170511,0,0,0
113826,75,89000.0,20171227,0,0,0
101549,118,67800.0,20170520,0,0,1
94364,25,66000.0,20151116,1,0,0
76738,27,34000.0,20150129,1,0,0
124469,118,67800.0,20170318,0,0,1
72213,81,57000.0,20170928,0,0,0
30488,44,55000.0,20170912,1,0,0
113768,55,62000.0,20151009,1,0,0
74854,70,77000.0,20130906,0,0,0
141070,82,97000.0,20160326,0,0,0
127509,60,72000.0,20140419,1,0,0
58212,118,67800.0,20170829,0,0,1
55112,35,33000.0,20171017,0,0,0
118155,64,57000.0,20151021,1,0,0
114382,21,73000.0,20160213,1,0,0
97588,49,64000.0,20160226,1,0,0
94158,118,67800.0,20150908,0,0,1
123977,57,88000.0,20171013,1,0,0
100608,50,65000.0,20180106,1,0,0
106129,64,73000.0,20150916,0,0,0
69677,67,67000.0,20170813,0,0,0
147950,41,61000.0,20160615,0,0,0
33846,60,71000.0,20150926,1,0,0
82808,37,66000.0,20170822,1,0,0
97220,29,61000.0,20170918,0,0,0
53160,26,45000.0,20161113,1,0,0
145861,67,36000.0,20171113,0,0,0
40816,67,68000.0,20151229,1,0,0
114253,62,82000.0,20170504,0,0,0
107254,48,61000.0,20170113,0,0,0
79688,118,67800.0,20161108,0,0,1
112233,67,85000.0,20171224,0,0,0
129415,61,69000.0,20141203,1,0,0
73309,70,100000.0,20160224,0,0,0
92419,60,51000.0,20170702,1,0,0
66849,49,108000.0,20170605,0,0,0
126012,62,111000.0,20160530,0,0,0
74878,41,57000.0,20160507,0,0,0
110976,73,110000.0,20170717,1,0,0
142655,37,72000.0,20180624,1,0,0
93711,50,72000.0,20160703,1,0,0
135623,44,40000.0,20180421,0,0,0
63108,48,99000.0,20131023,0,0,0
74783,48,56000.0,20140630,1,0,0
80021,59,95000.0,20160422,1,0,0
54974,26,44000.0,20170724,1,0,0
117611,60,64000.0,20180109,1,0,0
78060,51,84000.0,20160314,1,0,0
84,70,80000.0,20150913,0,0,0
92732,20,37000.0,20170823,1,0,0
150612,49,44000.0,20160123,0,0,0
132283,19,73000.0,20180321,1,0,0
117830,41,58000.0,20170822,1,0,0
11082,59,93000.0,20161105,0,0,0
139798,51,56000.0,20160517,0,0,0
99100,45,42000.0,20180222,0,0,0
42632,71,32000.0,20160517,0,0,0
80033,50,76000.0,20151123,0,1,0
127350,64,109000.0,20161112,0,0,0
77155,67,60000.0,20160506,1,0,0
149511,70,83000.0,20171222,0,0,0
75610,43,58000.0,20151007,0,0,0
116434,23,63000.0,20170831,1,0,0
104672,118,67800.0,20180717,0,0,1
114457,57,47000.0,20170607,1,0,0
46749,32,37000.0,20150124,1,0,0
129401,49,106000.0,20160115,0,0,0
69739,118,67800.0,20160904,0,0,1
67521,57,115000.0,20180617,0,0,0
122494,36,69000.0,20170813,1,0,0
11805,65,68000.0,20141215,1,0,0
68411,82,94000.0,20160723,0,0,0
78482,40,70000.0,20151214,1,0,0
93663,93,110000.0,20171231,0,0,0
26294,118,67800.0,20150929,0,0,1
116836,69,106000.0,20171107,1,0,0
27899,26,46000.0,20161120,1,0,0
59810,55,49000.0,20171203,1,0,0
4541,118,67800.0,20180705,0,0,1
120516,22,55000.0,20140805,1,0,0
49331,23,32000.0,20140221,1,0,0
85326,118,67800.0,20140605,0,0,1
122487,29,33000.0,20150804,0,0,0
107267,62,72000.0,20150121,1,0,0
62539,53,100000.0,20160704,1,0,0
112247,84,118000.0,20170311,0,0,0
80528,32,68000.0,20170312,0,0,0
126693,59,65000.0,20180322,1,0,0
60176,25,67000.0,20180422,0,0,0
82617,59,67000.0,20160731,0,0,0
62844,56,58000.0,20180318,1,0,0
105738,40,51000.0,20171118,1,0,0
145937,67,50000.0,20151123,0,0,0
91530,53,95000.0,20150906,1,0,0
116988,36,64000.0,20151022,0,0,0
64976,61,71000.0,20170911,1,0,0
32946,70,51000.0,20160516,1,0,0
33859,55,80000.0,20180117,1,0,0
73281,53,95000.0,20171114,1,0,0
29262,45,55000.0,20180501,1,0,0
82901,54,56000.0,20160123,1,0,0
83246,45,51000.0,20171014,1,0,0
97902,118,67800.0,20160613,0,0,1
21748,59,33000.0,20180525,0,0,0
102388,61,53000.0,20171207,0,1,0
96436,65,50000.0,20171210,1,0,0
119012,71,108000.0,20170918,0,0,0
21744,47,48000.0,20150505,0,0,0
3589,42,66000.0,20170919,0,0,0
125845,53,60000.0,20171012,1,0,0
21690,89,32000.0,20170313,0,0,0
62382,35,70000.0,20140104,0,0,0
147604,54,37000.0,20140626,1,0,0
44302,80,84000.0,20170510,0,0,0
99136,58,85000.0,20160808,0,0,0
113058,70,67000.0,20140708,1,0,0
86642,72,68000.0,20180403,1,0,0
7023,63,77000.0,20161111,1,0,0
113886,30,37000.0,20150911,0,0,0
105252,64,82000.0,20160529,1,0,0
110609,51,114000.0,20160104,0,0,0
61240,89,81000.0,20170902,0,0,0
104061,38,43000.0,20151029,0,0,0
98099,27,32000.0,20170920,1,0,0
86934,42,94000.0,20151210,1,0,0
76516,40,38000.0,20140521,1,0,0
117662,79,76000.0,20160711,1,0,0
80481,67,39000.0,20180213,1,0,0
3370,39,31000.0,20160125,1,0,0
94383,75,53000.0,20171102,0,0,0
109836,24,57000.0,20160622,1,0,0
116874,59,57000.0,20180706,1,0,0
111547,81,70000.0,20180625,0,0,0
114612,46,76000.0,20180220,0,0,0
67083,70,92000.0,20171031,0,0,0
27926,59,95000.0,20160425,1,0,0
88266,75,84000.0,20140712,1,0,0
150400,56,81000.0,20160528,0,0,0
126744,96,87000.0,20171111,0,0,0
142197,46,34000.0,20151117,0,0,0
136494,118,67800.0,20160512,0,0,1
37238,77,87000.0,20171208,1,0,0
120703,57,63000.0,20150808,1,0,0
63221,38,44000.0,20160221,1,0,0
66538,19,32000.0,20180624,1,0,0
88553,52,104000.0,20160926,1,0,0
69198,75,52000.0,20151129,1,0,0
130137,24,54000.0,20160120,0,0,0
147664,40,70000.0,20171129,1,0,0
62479,71,95000.0,20160406,1,0,0
105171,82,104000.0,20170623,1,0,0
79035,51,101000.0,20171105,0,0,0
124628,38,58000.0,20161102,1,0,0
74265,32,40000.0,20140629,1,0,0
32526,23,40000.0,20170126,1,0,0
104415,42,66000.0,20170919,0,0,0
108241,77,56000.0,20161225,1,0,0
131367,37,34000.0,20171111,1,0,0
76791,51,54000.0,20160228,0,0,0
127410,51,43000.0,20180206,0,0,0
53206,81,68000.0,20171110,1,0,0
69147,63,67000.0,20180709,1,0,0
71333,25,50000.0,20170622,0,0,0
39264,35,73000.0,20180505,1,0,0
63399,52,67000.0,20180629,1,0,0
75312,63,100000.0,20160121,0,0,0
29571,51,56000.0,20160312,0,0,0
107672,68,51000.0,20170602,0,0,0
57966,86,72000.0,20161106,0,0,0
9876,94,82000.0,20161002,1,0,0
122817,20,67000.0,20171130,1,0,0
66722,57,93000.0,20151124,1,0,0
61508,69,57000.0,20151113,1,0,0
47111,25,42000.0,20150301,1,0,0
113202,58,74000.0,20160804,0,0,0
61729,41,83000.0,20180503,1,0,0
111156,53,53000.0,20170403,1,0,0
131856,88,53000.0,20170518,0,0,0
31782,68,68000.0,20170311,0,0,0
75482,58,91000.0,20160712,1,0,0
110982,53,55000.0,20151121,0,0,0
142114,50,36000.0,20171125,0,0,0
74351,118,67800.0,20171104,0,0,1
112039,51,35000.0,20180629,1,0,0
60703,44,54000.0,20160616,1,0,0
147319,18,58000.0,20151209,1,0,0
108567,51,77000.0,20171016,0,0,0
119228,53,52000.0,20151209,0,0,0
150182,85,47000.0,20140218,1,0,0
88448,66,79000.0,20150609,0,0,0
45538,64,88000.0,20170928,1,0,0
127129,62,55000.0,20150806,0,0,0
128260,51,72000.0,20171108,0,0,0
27668,46,62000.0,20170319,0,0,0
49553,51,62000.0,20140319,0,0,0
84681,74,71000.0,20170412,0,0,0
96857,52,83000.0,20160527,0,0,0
96451,51,98000.0,20160107,1,0,0
53832,118,67800.0,20150928,0,0,1
119662,80,61000.0,20171223,1,0,0
99404,57,49000.0,20180306,0,0,0
115197,52,113000.0,20160518,0,0,0
1947,49,60000.0,20170319,0,0,0
50360,45,93000.0,20180425,1,0,0
128182,39,35000.0,20180311,0,0,0
144471,59,85000.0,20180111,1,0,0
46938,45,65000.0,20160219,1,0,0
121021,53,71000.0,20171026,1,0,0
103378,41,57000.0,20180321,0,0,0
14075,66,30000.0,20171125,1,0,0
32652,60,113000.0,20160119,1,0,0
71085,61,70000.0,20130831,1,0,0
115385,56,79000.0,20180228,1,0,0
129988,55,92000.0,20180512,1,0,0
11224,75,80000.0,20170309,1,0,0
81110,56,110000.0,20171207,0,0,0
127412,43,87000.0,20170603,1,0,0
103064,118,67800.0,20160308,0,0,1
86806,118,67800.0,20170524,0,0,1
44041,54,35000.0,20180429,1,0,0
124072,33,51000.0,20170421,0,0,0
27417,29,33000.0,20150804,0,0,0
40573,83,90000.0,20160525,1,0,0
105431,64,33000.0,20171012,0,0,0
139294,31,44000.0,20140208,1,0,0
111038,51,71000.0,20170405,0,0,0
144426,65,50000.0,20170415,1,0,0
118707,56,97000.0,20151108,1,0,0
144279,64,84000.0,20170309,1,0,0
2010,37,70000.0,20160516,0,1,0
111084,74,109000.0,20160923,0,0,0
126182,21,45000.0,20150630,0,1,0
92434,49,58000.0,20171129,0,0,0
20265,51,67000.0,20151228,1,0,0
120255,69,54000.0,20170516,1,0,0
136549,59,40000.0,20140705,1,0,0
118453,118,67800.0,20180101,0,0,1
138157,42,91000.0,20161225,1,0,0
99623,41,44000.0,20171013,1,0,0
110717,57,84000.0,20171111,0,0,0
75357,41,49000.0,20180126,0,0,0
72629,60,87000.0,20160727,0,0,0
118437,49,81000.0,20180721,1,0,0
111556,68,44000.0,20180416,1,0,0
98745,51,34000.0,20171206,1,0,0
44483,52,92000.0,20170823,1,0,0
102408,42,58000.0,20161225,1,0,0
103940,33,49000.0,20140716,1,0,0
140686,26,53000.0,20160210,0,0,0
26311,46,51000.0,20170323,1,0,0
116562,51,67000.0,20151228,1,0,0
143361,24,38000.0,20170906,0,0,0
76666,118,67800.0,20150908,0,0,1
131405,64,91000.0,20160820,0,0,0
119275,118,67800.0,20160220,0,0,1
101180,28,33000.0,20180626,1,0,0
114018,118,67800.0,20161014,0,0,1
4072,86,44000.0,20161110,0,0,0
57618,41,56000.0,20151125,1,0,0
102763,41,80000.0,20170102,0,0,0
47795,85,89000.0,20171224,0,0,0
78019,47,52000.0,20160915,1,0,0
121474,37,51000.0,20180107,0,0,0
62032,46,88000.0,20170125,0,0,0
113119,23,44000.0,20171220,0,0,0
78748,79,113000.0,20160416,1,0,0
99829,118,67800.0,20180124,0,0,1
57530,118,67800.0,20180609,0,0,1
23281,50,37000.0,20151226,0,0,0
145269,51,62000.0,20170805,1,0,0
114002,52,81000.0,20160729,0,0,0
135253,118,67800.0,20171211,0,0,1
58410,47,59000.0,20170206,0,0,0
138255,35,32000.0,20140625,0,0,0
62031,46,88000.0,20170125,0,0,0
57239,64,81000.0,20160613,1,0,0
4748,37,44000.0,20160222,1,0,0
26216,71,65000.0,20180109,1,0,0
82655,56,73000.0,20161221,0,0,0
59351,27,50000.0,20150815,1,0,0
133702,28,37000.0,20170816,0,0,0
118951,118,67800.0,20150903,0,0,1
3683,77,49000.0,20171212,1,0,0
77467,50,41000.0,20140513,1,0,0
56652,40,61000.0,20160501,0,0,0
84762,65,62000.0,20171121,0,0,0
126439,40,63000.0,20180120,0,0,0
128253,33,73000.0,20170709,1,0,0
81967,91,35000.0,20160407,1,0,0
127379,37,74000.0,20170124,1,0,0
72327,23,71000.0,20140226,1,0,0
92820,56,65000.0,20140225,1,0,0
73690,86,40000.0,20160715,0,0,0
73791,66,67000.0,20170903,1,0,0
8891,81,32000.0,20141008,1,0,0
5433,74,91000.0,20150917,0,0,0
115180,40,59000.0,20180110,1,0,0
119311,27,32000.0,20170920,1,0,0
122412,60,51000.0,20170714,1,0,0
5097,52,69000.0,20161024,1,0,0
61322,66,32000.0,20180210,0,0,0
40377,74,54000.0,20160306,1,0,0
101469,46,38000.0,20170321,1,0,0
5052,91,35000.0,20160407,1,0,0
128875,86,93000.0,20150901,0,0,0
58803,52,93000.0,20161113,0,0,0
119993,40,79000.0,20160911,1,0,0
43742,58,109000.0,20161210,0,0,0
128597,57,110000.0,20170705,1,0,0
81090,60,87000.0,20160727,0,0,0
80779,55,78000.0,20160419,0,0,0
132944,118,67800.0,20171218,0,0,1
43402,118,67800.0,20150801,0,0,1
66719,19,31000.0,20171122,1,0,0
58408,22,55000.0,20150731,0,0,0
80380,66,86000.0,20171013,1,0,0
139111,30,50000.0,20130926,1,0,0
102403,30,31000.0,20160715,0,0,0
126258,28,75000.0,20170824,0,0,0
112807,44,57000.0,20180219,0,0,0
124466,77,117000.0,20160414,0,0,0
80279,65,57000.0,20160212,1,0,0
58602,48,118000.0,20151120,0,0,0
133186,118,67800.0,20150807,0,0,1
27020,25,68000.0,20151027,1,0,0
106896,62,56000.0,20160410,1,0,0
28445,29,31000.0,20160117,1,0,0
76364,68,70000.0,20150210,1,0,0
97459,76,60000.0,20160115,1,0,0
144935,38,34000.0,20151215,1,0,0
4963,46,61000.0,20160527,1,0,0
74674,78,42000.0,20170708,0,0,0
66360,74,68000.0,20160911,0,0,0
137087,70,50000.0,20160312,1,0,0
69506,55,56000.0,20180319,1,0,0
128178,51,48000.0,20170910,1,0,0
135641,58,91000.0,20160209,0,0,0
36990,63,76000.0,20170609,0,0,0
129937,25,46000.0,20180316,1,0,0
146886,118,67800.0,20161223,0,0,1
78242,67,65000.0,20160629,0,0,0
